,Title,Released Year,Rotten Tomatoes Score,Cast,Director,Synopsis,Critics consensus
77,Logan,2017,94%,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant",James Mangold,"In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote... ","Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions."
78,007: Goldfinger,1964,99%,"Sean Connery, Gert Fröbe, Honor Blackman, Shirley Eaton",Guy Hamilton,"Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and... ","Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred."") and a wide range of gadgets that would become the series' trademark."
79,Assault on Precinct 13,1976,96%,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West",John Carpenter,"When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way... ","Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best."
80,Wonder Woman,2017,93%,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright",Patty Jenkins,"Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior.... ","Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion."
81,The Chinese Connection,1972,83%,"Bruce Lee, Nora Miao, James Tien, Robert Baker",Lo Wei,"Chen Zhen (Bruce Lee) has left his homeland of China and relocated to stay with family in Thailand. Chen, who... ",No consensus yet.
82,Captain America: The Winter Soldier,2014,90%,"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan",Anthony Russo,"After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in... ","Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards."
83,Oldboy,2003,82%,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han",Park Chan-wook,"Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the... ","Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge."
84,The French Connection,1971,96%,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco",William Friedkin,"New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler.... ","Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production."
85,Furious 7,2015,81%,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez",James Wan,"After defeating international terrorist Owen Shaw, Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the rest of the crew... ","Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one."
86,La Femme Nikita,1990,89%,"Anne Parillaud, Jean-Hugues Anglade, Tchéky Karyo, Jeanne Moreau",Luc Besson,"Convicted felon Nikita (Anne Parillaud), instead of going to jail, is given a new identity and trained to be a... ",A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.
